conference#Conference_part	 	 	conference#was_a_track-workshop_chair_of -> conference#Track-workshop_chair, conference#has_a_track-workshop-tutorial_chair -> conference#Track-workshop_chair	conference#has_a_name -> conference#string	sigkdd#Conference	 	 	sigkdd#hold -> sigkdd#ACM_SIGKDD, sigkdd#holded_by -> sigkdd#ACM_SIGKDD	sigkdd#End_of_conference -> sigkdd#dateTime, sigkdd#Start_of_conference -> sigkdd#dateTime, sigkdd#Name_of_conference -> sigkdd#string, sigkdd#City_of_conference -> sigkdd#string	1.28
ekaw#Paper_Author	ekaw#Paper_Author -> ekaw#Person	 	 	 	sigkdd#Author_of_paper_student	sigkdd#Author_of_paper_student -> sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person	 	 	 	1.28
cmt#Co-author	cmt#Co-author -> cmt#Author -> cmt#ConferenceMember -> cmt#Person, cmt#Co-author -> cmt#Author -> cmt#User -> cmt#Person	 	cmt#co-writePaper -> cmt#Paper, cmt#hasCo-author -> cmt#Paper	 	iasted#Author	iasted#Author -> iasted#Speaker -> iasted#Delegate -> iasted#Person	 	iasted#prepare -> iasted#Transparency, iasted#give -> iasted#Brief_introduction_for_Session_chair, iasted#is_given_by -> iasted#Brief_introduction_for_Session_chair	 	1.277
cmt#ProgramCommitteeMember	cmt#ProgramCommitteeMember -> cmt#Person, cmt#ProgramCommitteeMember -> cmt#ConferenceMember -> cmt#Person	 	cmt#hasProgramCommitteeMember -> cmt#ProgramCommittee, cmt#memberOfProgramCommittee -> cmt#ProgramCommittee, cmt#addProgramCommitteeMember -> cmt#Administrator	cmt#maxPapers -> cmt#int	conference#Program_committee	conference#Program_committee -> conference#Committee	 	conference#has_a_program_committee -> conference#Conference_volume, conference#was_a_program_committee_of -> conference#Conference_volume	 	1.276
conference#Organizing_committee	conference#Organizing_committee -> conference#Committee	 	 	 	sigkdd#Program_Committee	sigkdd#Program_Committee -> sigkdd#Committee	 	 	 	1.276
conference#Program_committee	conference#Program_committee -> conference#Committee	 	 	 	sigkdd#Organizing_Committee	sigkdd#Organizing_Committee -> sigkdd#Committee	 	 	 	1.276
conference#Review	conference#Review -> conference#Conference_document	 	conference#has_a_review -> conference#Reviewed_contribution, conference#reviews -> conference#Reviewed_contribution	 	iasted#Reviewer	iasted#Reviewer -> iasted#Speaker -> iasted#Delegate -> iasted#Person	 	iasted#is_writen_by -> iasted#Review	 	1.275
cmt#Review	cmt#Review -> cmt#Document	 	cmt#writtenBy -> cmt#Reviewer, cmt#writeReview -> cmt#Reviewer, cmt#endReview -> cmt#ProgramCommitteeChair	 	ekaw#Positive_Review	ekaw#Positive_Review -> ekaw#Review -> ekaw#Document	 	ekaw#hasReview -> ekaw#Accepted_Paper	 	1.274
cmt#ConferenceMember	cmt#ConferenceMember -> cmt#Person	cmt#Author, cmt#ConferenceChair, cmt#AssociatedChair, cmt#Reviewer, cmt#ProgramCommitteeMember	 	 	conference#Conference_contributor	conference#Conference_contributor -> conference#Person	conference#Regular_author, conference#Invited_speaker, conference#Active_conference_participant	 	 	1.274
cmt#ConferenceMember	cmt#ConferenceMember -> cmt#Person	cmt#Reviewer, cmt#ProgramCommitteeMember, cmt#Author, cmt#ConferenceChair	cmt#hasConferenceMember -> cmt#Conference, cmt#memberOfConference -> cmt#Conference	 	iasted#Conference_activity	iasted#Conference_activity -> iasted#Activity	iasted#Registration, iasted#Lecture, iasted#Social_program, iasted#Presentation	iasted#is_held_in -> iasted#Conference_state, iasted#is_held_in -> iasted#Conference_days, iasted#is_paid_for -> iasted#Registration_fee	 	1.274
edas#ConferenceEvent	 	edas#AcademicEvent, edas#NonAcademicEvent	edas#attendeeAt -> edas#Person, edas#hasAttendee -> edas#Person, edas#hasLocation -> edas#Place	edas#hasStartDateTime -> edas#dateTime, edas#hasEndDateTime -> edas#dateTime	ekaw#Event	 	ekaw#Scientific_Event, ekaw#Social_Event	ekaw#organises -> ekaw#Person, ekaw#organisedBy -> ekaw#Person, ekaw#heldIn -> ekaw#Location, ekaw#locationOf -> ekaw#Location	 	1.273
cmt#Paper	cmt#Paper -> cmt#Document	cmt#PaperAbstract, cmt#PaperFullVersion	 	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	iasted#Document	iasted#Document -> iasted#Item	iasted#Payment_document, iasted#Submission, iasted#Form, iasted#Transparency, iasted#Review	 	 	1.273
conference#Conference_applicant	conference#Conference_applicant -> conference#Person	conference#Registeered_applicant	 	 	ekaw#Conference_Participant	ekaw#Conference_Participant -> ekaw#Person	ekaw#Late-Registered_Participant, ekaw#Early-Registered_Participant, ekaw#Presenter, ekaw#Session_Chair, ekaw#OC_Member, ekaw#Demo_Chair	 	 	1.272
ekaw#Possible_Reviewer	ekaw#Possible_Reviewer -> ekaw#Person	ekaw#PC_Member	ekaw#hasReviewer -> ekaw#Paper, ekaw#reviewerOfPaper -> ekaw#Paper, ekaw#reviewWrittenBy -> ekaw#Review	 	sigkdd#Author	sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person	sigkdd#Author_of_paper_student, sigkdd#Author_of_paper	sigkdd#submit -> sigkdd#Paper, sigkdd#obtain -> sigkdd#Award	 	1.27
confOf#Person	 	 	confOf#hasCountry -> confOf#Country, confOf#hasCity -> confOf#City	confOf#hasHomePage -> confOf#string, confOf#hasSurname -> confOf#string, confOf#hasEmail -> confOf#string, confOf#hasPhone -> confOf#string, confOf#hasFax -> confOf#string, confOf#hasPostalCode -> confOf#string, confOf#hasFirstName -> confOf#string, confOf#hasStreet -> confOf#string	edas#Conference	 	 	edas#hasCountry -> edas#Country, edas#isMemberOf -> edas#Person, edas#hasMember -> edas#Person	edas#paperDueOn -> edas#dateTime, edas#registrationDueOn -> edas#dateTime, edas#endDate -> edas#dateTime, edas#startDate -> edas#dateTime, edas#manuscriptDueOn -> edas#dateTime, edas#hasName -> edas#string	1.27
cmt#Person	 	 	cmt#hasConflictOfInterest -> cmt#Document	cmt#email -> cmt#string, cmt#name -> cmt#string	edas#Conference	 	 	edas#hasRelatedDocument -> edas#Document, edas#relatesTo -> edas#Document, edas#isTopicOf -> edas#Topic, edas#hasTopic -> edas#Topic, edas#isMemberOf -> edas#Person, edas#hasMember -> edas#Person	edas#paperDueOn -> edas#dateTime, edas#registrationDueOn -> edas#dateTime, edas#endDate -> edas#dateTime, edas#startDate -> edas#dateTime, edas#manuscriptDueOn -> edas#dateTime, edas#hasName -> edas#string	1.27
ekaw#Conference	ekaw#Conference -> ekaw#Scientific_Event -> ekaw#Event	 	ekaw#partOfEvent -> ekaw#Conference_Session	 	iasted#Conference_restaurant	iasted#Conference_restaurant -> iasted#Building -> iasted#Place	 	iasted#is_situated_in -> iasted#Conference_state, iasted#is_situated_in -> iasted#Conference_city, iasted#is_occupied_by -> iasted#Delegate, iasted#is_paid_in -> iasted#Tip	 	1.268
conference#Conference_volume	conference#Conference_volume -> conference#Conference	 	conference#has_parts -> conference#Conference_part, conference#is_part_of_conference_volumes -> conference#Conference_part, conference#is_submitted_at -> conference#Conference_contribution, conference#has_contributions -> conference#Conference_contribution	conference#has_a_location -> conference#string	iasted#Conference_activity	iasted#Conference_activity -> iasted#Activity	 	iasted#is_held_in -> iasted#Conference_state, iasted#is_held_in -> iasted#Conference_days	 	1.267
iasted#Delegate	iasted#Delegate -> iasted#Person	iasted#Speaker, iasted#Non_speaker, iasted#Session_chair, iasted#Hotel_presenter, iasted#Listener	iasted#is_given_to -> iasted#Form, iasted#is_designed_for -> iasted#Registration, iasted#send -> iasted#Registration_form	 	sigkdd#Speaker	sigkdd#Speaker -> sigkdd#Person	sigkdd#Invited_Speaker, sigkdd#Author	sigkdd#presentationed_by -> sigkdd#Document, sigkdd#presentation -> sigkdd#Document	 	1.266
edas#WithdrawnPaper	edas#WithdrawnPaper -> edas#Paper -> edas#Document	 	 	 	ekaw#Rejected_Paper	ekaw#Rejected_Paper -> ekaw#Evaluated_Paper -> ekaw#Assigned_Paper -> ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	 	 	 	1.265
conference#Reviewed_contribution	conference#Reviewed_contribution -> conference#Submitted_contribution -> conference#Written_contribution -> conference#Conference_contribution -> conference#Conference_document	 	conference#has_a_review -> conference#Review, conference#reviews -> conference#Review	 	iasted#Reviewer	iasted#Reviewer -> iasted#Speaker -> iasted#Delegate -> iasted#Person	 	iasted#is_writen_by -> iasted#Review	 	1.265
cmt#Paper	cmt#Paper -> cmt#Document	cmt#PaperAbstract, cmt#PaperFullVersion	cmt#readByReviewer -> cmt#Reviewer, cmt#markConflictOfInterest -> cmt#Reviewer, cmt#readPaper -> cmt#Reviewer, cmt#assignedTo -> cmt#Reviewer, cmt#hasBeenAssigned -> cmt#Reviewer, cmt#readByMeta-Reviewer -> cmt#Meta-Reviewer	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	ekaw#Review	ekaw#Review -> ekaw#Document	ekaw#Neutral_Review, ekaw#Negative_Review, ekaw#Positive_Review	ekaw#reviewWrittenBy -> ekaw#Possible_Reviewer	 	1.263
iasted#Author	iasted#Author -> iasted#Speaker -> iasted#Delegate -> iasted#Person	 	iasted#give -> iasted#Brief_introduction_for_Session_chair, iasted#is_given_by -> iasted#Brief_introduction_for_Session_chair, iasted#prepare -> iasted#Transparency	 	sigkdd#Author_of_paper	sigkdd#Author_of_paper -> sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person	 	sigkdd#award -> sigkdd#Best_Research_Paper_Award, sigkdd#award -> sigkdd#Best_Applications_Paper_Award	 	1.263
ekaw#Conference_Session	ekaw#Conference_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	 	ekaw#partOfEvent -> ekaw#Conference	 	iasted#Conference_airport	iasted#Conference_airport -> iasted#Building -> iasted#Place	 	iasted#is_situated_in -> iasted#Conference_state, iasted#is_situated_in -> iasted#Conference_city	 	1.262
conference#Steering_committee	conference#Steering_committee -> conference#Committee	 	 	 	sigkdd#Program_Committee	sigkdd#Program_Committee -> sigkdd#Committee	 	 	 	1.261
cmt#ProgramCommitteeMember	cmt#ProgramCommitteeMember -> cmt#Person, cmt#ProgramCommitteeMember -> cmt#ConferenceMember -> cmt#Person	cmt#ProgramCommitteeChair	 	cmt#maxPapers -> cmt#int	ekaw#OC_Member	ekaw#OC_Member -> ekaw#Conference_Participant -> ekaw#Person	ekaw#OC_Chair	 	 	1.261
cmt#Meta-Reviewer	cmt#Meta-Reviewer -> cmt#Reviewer -> cmt#ConferenceMember -> cmt#Person, cmt#Meta-Reviewer -> cmt#Reviewer -> cmt#User -> cmt#Person	 	cmt#readByMeta-Reviewer -> cmt#Paper	 	iasted#Reviewer	iasted#Reviewer -> iasted#Speaker -> iasted#Delegate -> iasted#Person	 	iasted#is_writen_by -> iasted#Review	 	1.26
edas#AcceptedPaper	edas#AcceptedPaper -> edas#Paper -> edas#Document	 	 	 	ekaw#Rejected_Paper	ekaw#Rejected_Paper -> ekaw#Evaluated_Paper -> ekaw#Assigned_Paper -> ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	 	 	 	1.26
cmt#Administrator	cmt#Administrator -> cmt#User -> cmt#Person	 	cmt#assignReviewer -> cmt#Reviewer, cmt#assignedByAdministrator -> cmt#Reviewer	 	conference#Reviewer	conference#Reviewer -> conference#Person	 	conference#belongs_to_reviewers -> conference#Review_expertise, conference#has_a_review_reference_or_expertise -> conference#Review_expertise	 	1.26
edas#RejectedPaper	edas#RejectedPaper -> edas#Paper -> edas#Document	 	 	 	ekaw#Accepted_Paper	ekaw#Accepted_Paper -> ekaw#Evaluated_Paper -> ekaw#Assigned_Paper -> ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	 	 	 	1.258
confOf#Contribution	 	 	confOf#dealsWith -> confOf#Topic	confOf#abstract -> confOf#string, confOf#hasTitle -> confOf#string, confOf#remark -> confOf#string, confOf#hasKeyword -> confOf#string, confOf#contactEmail -> confOf#string	edas#Conference	 	 	edas#isTopicOf -> edas#Topic, edas#hasTopic -> edas#Topic, edas#hasRelatedDocument -> edas#Document, edas#relatesTo -> edas#Document	edas#paperDueOn -> edas#dateTime, edas#registrationDueOn -> edas#dateTime, edas#endDate -> edas#dateTime, edas#startDate -> edas#dateTime, edas#manuscriptDueOn -> edas#dateTime, edas#hasName -> edas#string	1.258
cmt#Meta-Reviewer	cmt#Meta-Reviewer -> cmt#Reviewer -> cmt#ConferenceMember -> cmt#Person, cmt#Meta-Reviewer -> cmt#Reviewer -> cmt#User -> cmt#Person	 	cmt#readByMeta-Reviewer -> cmt#Paper	 	conference#Reviewer	conference#Reviewer -> conference#Person	 	conference#belongs_to_reviewers -> conference#Review_preference, conference#has_a_review_reference_or_expertise -> conference#Review_preference, conference#belongs_to_reviewers -> conference#Review_expertise, conference#has_a_review_reference_or_expertise -> conference#Review_expertise	 	1.258
cmt#ConferenceMember	cmt#ConferenceMember -> cmt#Person	 	cmt#hasConferenceMember -> cmt#Conference, cmt#memberOfConference -> cmt#Conference	 	iasted#Conference_building	iasted#Conference_building -> iasted#Building -> iasted#Place	 	iasted#is_situated_in -> iasted#Conference_state, iasted#is_situated_in -> iasted#Conference_city, iasted#is_situated_in -> iasted#Conference_hall	 	1.258
iasted#Reviewer	iasted#Reviewer -> iasted#Speaker -> iasted#Delegate -> iasted#Person	 	iasted#is_writen_by -> iasted#Review	 	sigkdd#Author	sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person	 	sigkdd#obtain -> sigkdd#Award, sigkdd#submit -> sigkdd#Paper, sigkdd#notification_until -> sigkdd#Deadline_Author_notification	 	1.256
cmt#Author	cmt#Author -> cmt#ConferenceMember -> cmt#Person, cmt#Author -> cmt#User -> cmt#Person	 	cmt#submitPaper -> cmt#Paper, cmt#writePaper -> cmt#Paper, cmt#hasAuthor -> cmt#Paper, cmt#markConflictOfInterest -> cmt#Paper	 	sigkdd#Author_of_paper_student	sigkdd#Author_of_paper_student -> sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person	 	sigkdd#award -> sigkdd#Best_Student_Paper_Award	 	1.256
edas#AcademicEvent	edas#AcademicEvent -> edas#ConferenceEvent	edas#Workshop, edas#PaperPresentation, edas#TalkEvent, edas#OrganizationalMeeting	 	 	ekaw#Scientific_Event	ekaw#Scientific_Event -> ekaw#Event	ekaw#Workshop, ekaw#Individual_Presentation, ekaw#Session, ekaw#Conference	 	 	1.256
cmt#Paper	cmt#Paper -> cmt#Document	cmt#PaperAbstract, cmt#PaperFullVersion	 	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	ekaw#Evaluated_Paper	ekaw#Evaluated_Paper -> ekaw#Assigned_Paper -> ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	ekaw#Rejected_Paper, ekaw#Accepted_Paper	 	 	1.255
conference#Committee_member	conference#Committee_member -> conference#Person	conference#Co-chair, conference#Chair	 	 	ekaw#OC_Member	ekaw#OC_Member -> ekaw#Conference_Participant -> ekaw#Person	ekaw#OC_Chair	 	 	1.255
cmt#Administrator	cmt#Administrator -> cmt#User -> cmt#Person	 	cmt#acceptedBy -> cmt#Paper, cmt#rejectPaper -> cmt#Paper, cmt#rejectedBy -> cmt#Paper	 	edas#SessionChair	edas#SessionChair -> edas#Person	 	edas#isReviewedBy -> edas#Paper, edas#isReviewing -> edas#Paper	 	1.254
edas#PublishedPaper	edas#PublishedPaper -> edas#Paper -> edas#Document	 	 	 	sigkdd#Paper	sigkdd#Paper -> sigkdd#Document	 	 	 	1.254
cmt#Paper	cmt#Paper -> cmt#Document	 	 	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	edas#PublishedPaper	edas#PublishedPaper -> edas#Paper -> edas#Document	 	 	 	1.254
edas#PublishedPaper	edas#PublishedPaper -> edas#Paper -> edas#Document	 	 	 	ekaw#Paper	ekaw#Paper -> ekaw#Document	 	 	 	1.254
cmt#Paper	cmt#Paper -> cmt#Document	cmt#PaperAbstract, cmt#PaperFullVersion	cmt#markConflictOfInterest -> cmt#Chairman, cmt#submitPaper -> cmt#Author, cmt#writePaper -> cmt#Author	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	sigkdd#Registration_fee	sigkdd#Registration_fee -> sigkdd#Fee	sigkdd#Registration_Student, sigkdd#Registration_Non-Member, sigkdd#Registration_SIGKDD_Member, sigkdd#Registration_SIGMOD_Member	sigkdd#payed_by -> sigkdd#Person, sigkdd#pay -> sigkdd#Person	sigkdd#Currency -> sigkdd#string, sigkdd#Price -> sigkdd#int	1.253
confOf#Administrative_event	confOf#Administrative_event -> confOf#Event	confOf#Submission_event, confOf#Reviewing_event, confOf#Camera_Ready_event, confOf#Reviewing_results_event, confOf#Registration_of_participants_event	confOf#hasAdministrativeEvent -> confOf#Working_event	 	edas#AcademicEvent	edas#AcademicEvent -> edas#ConferenceEvent	edas#TalkEvent, edas#PaperPresentation	edas#relatesTo -> edas#Document, edas#hasRelatedDocument -> edas#Document, edas#hasCall -> edas#Call, edas#forEvent -> edas#Call	 	1.253
confOf#Scholar	confOf#Scholar -> confOf#Person	 	confOf#studyAt -> confOf#University	 	iasted#Lecturer	iasted#Lecturer -> iasted#Author -> iasted#Speaker -> iasted#Delegate -> iasted#Person	 	iasted#speak_in -> iasted#Session_room	 	1.252
confOf#Conference	confOf#Conference -> confOf#Working_event -> confOf#Event	 	 	 	ekaw#Conference_Trip	ekaw#Conference_Trip -> ekaw#Social_Event -> ekaw#Event	 	 	 	1.251
cmt#Chairman	cmt#Chairman -> cmt#Person	 	cmt#markConflictOfInterest -> cmt#Paper	 	conference#Co-chair	conference#Co-chair -> conference#Committee_member -> conference#Person	 	conference#was_a_committe_co-chair_of -> conference#Committee, conference#has_a_committee_co-chair -> conference#Committee	 	1.251
edas#ConferenceDinner	edas#ConferenceDinner -> edas#MealEvent -> edas#NonAcademicEvent -> edas#ConferenceEvent	 	 	 	ekaw#Conference_Banquet	ekaw#Conference_Banquet -> ekaw#Social_Event -> ekaw#Event	 	 	 	1.251
ekaw#Session	ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	 	ekaw#hasEvent -> ekaw#Individual_Presentation	 	iasted#Session_room	iasted#Session_room -> iasted#Place	 	iasted#is_situated_in -> iasted#Record_of_attendance, iasted#is_held_in -> iasted#Session, iasted#speak_in -> iasted#Lecturer, iasted#is_situated_in -> iasted#Conference_building, iasted#is_situated_in -> iasted#Audiovisual_equipment, iasted#is_equipped_by -> iasted#Audiovisual_equipment	 	1.25
iasted#Registration	iasted#Registration -> iasted#Conference_activity -> iasted#Activity	 	iasted#is_designed_for -> iasted#Delegate	 	sigkdd#Registration_fee	sigkdd#Registration_fee -> sigkdd#Fee	 	sigkdd#payed_by -> sigkdd#Person, sigkdd#pay -> sigkdd#Person	sigkdd#Currency -> sigkdd#string, sigkdd#Price -> sigkdd#int	1.249
ekaw#Conference_Session	ekaw#Conference_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	 	ekaw#partOfEvent -> ekaw#Conference	 	iasted#Conference_restaurant	iasted#Conference_restaurant -> iasted#Building -> iasted#Place	 	iasted#is_situated_in -> iasted#Conference_state, iasted#is_situated_in -> iasted#Conference_city, iasted#is_occupied_by -> iasted#Delegate, iasted#is_paid_in -> iasted#Tip	 	1.249
edas#AcceptedPaper	edas#AcceptedPaper -> edas#Paper -> edas#Document	 	edas#relatedToPaper -> edas#PaperPresentation, edas#relatedToEvent -> edas#PaperPresentation	 	sigkdd#Paper	sigkdd#Paper -> sigkdd#Document	 	sigkdd#submit -> sigkdd#Author	 	1.248
confOf#Workshop	confOf#Workshop -> confOf#Working_event -> confOf#Event	 	 	 	ekaw#Workshop_Session	ekaw#Workshop_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	 	 	 	1.248
conference#Review	conference#Review -> conference#Conference_document	 	conference#has_a_review -> conference#Reviewed_contribution, conference#reviews -> conference#Reviewed_contribution	 	ekaw#Positive_Review	ekaw#Positive_Review -> ekaw#Review -> ekaw#Document	 	ekaw#hasReview -> ekaw#Accepted_Paper	 	1.248
edas#GovernmentOrganization	edas#GovernmentOrganization -> edas#Organization	 	 	 	sigkdd#Organizator	sigkdd#Organizator -> sigkdd#Person	 	 	 	1.247
iasted#Hotel_fee	iasted#Hotel_fee -> iasted#Fee -> iasted#Money	 	iasted#is_paid_by -> iasted#Hotel_presenter	 	sigkdd#Registration_fee	sigkdd#Registration_fee -> sigkdd#Fee	 	sigkdd#payed_by -> sigkdd#Person, sigkdd#pay -> sigkdd#Person	sigkdd#Currency -> sigkdd#string, sigkdd#Price -> sigkdd#int	1.246
edas#AcademiaOrganization	edas#AcademiaOrganization -> edas#Organization	 	 	 	ekaw#Organising_Agency	ekaw#Organising_Agency -> ekaw#Organisation	 	 	 	1.246
conference#Conference_volume	conference#Conference_volume -> conference#Conference	 	conference#has_parts -> conference#Conference_part, conference#is_part_of_conference_volumes -> conference#Conference_part, conference#is_submitted_at -> conference#Conference_contribution, conference#has_contributions -> conference#Conference_contribution	conference#has_a_location -> conference#string	iasted#Conference_airport	iasted#Conference_airport -> iasted#Building -> iasted#Place	 	iasted#is_situated_in -> iasted#Conference_state, iasted#is_situated_in -> iasted#Conference_city	 	1.246
iasted#Memeber_registration_fee	iasted#Memeber_registration_fee -> iasted#Registration_fee -> iasted#Fee -> iasted#Money	 	 	 	sigkdd#Registration_Non-Member	sigkdd#Registration_Non-Member -> sigkdd#Registration_fee -> sigkdd#Fee	 	 	 	1.245
conference#Program_committee	conference#Program_committee -> conference#Committee	 	conference#has_a_program_committee -> conference#Conference_volume, conference#was_a_program_committee_of -> conference#Conference_volume	 	confOf#Member_PC	confOf#Member_PC -> confOf#Person	 	confOf#expertOn -> confOf#Topic, confOf#reviewes -> confOf#Contribution	 	1.245
cmt#Administrator	cmt#Administrator -> cmt#User -> cmt#Person	 	cmt#acceptedBy -> cmt#Paper, cmt#rejectPaper -> cmt#Paper, cmt#rejectedBy -> cmt#Paper	 	edas#ConferenceChair	edas#ConferenceChair -> edas#Person	 	edas#isReviewing -> edas#Paper, edas#isReviewedBy -> edas#Paper	 	1.244
ekaw#Paper	ekaw#Paper -> ekaw#Document	 	ekaw#hasReview -> ekaw#Review, ekaw#reviewOfPaper -> ekaw#Review, ekaw#hasReviewer -> ekaw#Possible_Reviewer, ekaw#reviewerOfPaper -> ekaw#Possible_Reviewer, ekaw#coversTopic -> ekaw#Research_Topic, ekaw#topicCoveredBy -> ekaw#Research_Topic	 	iasted#Review	iasted#Review -> iasted#Document -> iasted#Item	 	iasted#is_writen_by -> iasted#Reviewer	 	1.243
conference#Tutorial	conference#Tutorial -> conference#Conference_part	 	conference#has_tutorials -> conference#Conference_volume	 	iasted#Tutorial_speaker	iasted#Tutorial_speaker -> iasted#Author -> iasted#Speaker -> iasted#Delegate -> iasted#Person	 	iasted#speak_in -> iasted#Conference_hall	 	1.24
cmt#Paper	cmt#Paper -> cmt#Document	 	cmt#markConflictOfInterest -> cmt#Chairman, cmt#hasBid -> cmt#Bid, cmt#readByReviewer -> cmt#Reviewer, cmt#markConflictOfInterest -> cmt#Reviewer, cmt#readPaper -> cmt#Reviewer, cmt#assignedTo -> cmt#Reviewer	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	ekaw#Camera_Ready_Paper	ekaw#Camera_Ready_Paper -> ekaw#Paper -> ekaw#Document	 	ekaw#writtenBy -> ekaw#Conference_Participant, ekaw#updatedVersionOf -> ekaw#Accepted_Paper	 	1.24
iasted#Fee	iasted#Fee -> iasted#Money	iasted#Registration_fee, iasted#Hotel_fee	 	 	sigkdd#Registration_fee	sigkdd#Registration_fee -> sigkdd#Fee	sigkdd#Registration_Student, sigkdd#Registration_Non-Member, sigkdd#Registration_SIGMOD_Member, sigkdd#Registration_SIGKDD_Member	 	sigkdd#Currency -> sigkdd#string, sigkdd#Price -> sigkdd#int	1.239
edas#PublishedPaper	edas#PublishedPaper -> edas#Paper -> edas#Document	 	 	 	ekaw#Evaluated_Paper	ekaw#Evaluated_Paper -> ekaw#Assigned_Paper -> ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	 	 	 	1.238
ekaw#Paper_Author	ekaw#Paper_Author -> ekaw#Person	 	 	 	sigkdd#Author	sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person	 	 	 	1.237
cmt#ConferenceMember	cmt#ConferenceMember -> cmt#Person	 	cmt#hasConferenceMember -> cmt#Conference, cmt#memberOfConference -> cmt#Conference	 	iasted#Conference_city	iasted#Conference_city -> iasted#City	 	iasted#is_situated_in -> iasted#Conference_building, iasted#is_situated_in -> iasted#Conference_hotel, iasted#is_situated_in -> iasted#Conference_airport	 	1.237
conference#Co-chair	conference#Co-chair -> conference#Committee_member -> conference#Person	 	conference#was_a_committe_co-chair_of -> conference#Committee, conference#has_a_committee_co-chair -> conference#Committee	 	edas#SessionChair	edas#SessionChair -> edas#Person	 	edas#isInitiatedBy -> edas#Call, edas#initiates -> edas#Call, edas#isReviewedBy -> edas#Paper, edas#isReviewing -> edas#Paper	 	1.237
conference#Extended_abstract	conference#Extended_abstract -> conference#Regular_contribution -> conference#Written_contribution -> conference#Conference_contribution -> conference#Conference_document	conference#Abstract	 	 	ekaw#Abstract	ekaw#Abstract -> ekaw#Document	ekaw#Tutorial_Abstract, ekaw#Invited_Talk_Abstract	 	 	1.236
confOf#Working_event	confOf#Working_event -> confOf#Event	 	confOf#hasTopic -> confOf#Topic	confOf#has_short_title -> confOf#string, confOf#hasVAT -> confOf#string, confOf#location -> confOf#string, confOf#defaultChoice -> confOf#positiveInteger, confOf#has_title -> confOf#string, confOf#minChoice -> confOf#positiveInteger, confOf#maxChoice -> confOf#positiveInteger	edas#Conference	 	 	edas#isTopicOf -> edas#Topic, edas#hasTopic -> edas#Topic, edas#hasRelatedDocument -> edas#Document, edas#relatesTo -> edas#Document	edas#paperDueOn -> edas#dateTime, edas#registrationDueOn -> edas#dateTime, edas#endDate -> edas#dateTime, edas#startDate -> edas#dateTime, edas#manuscriptDueOn -> edas#dateTime, edas#hasName -> edas#string	1.234
confOf#Person	 	confOf#Volunteer, confOf#Scholar, confOf#Assistant, confOf#Administrator, confOf#Chair_PC, confOf#Science_Worker	confOf#employedBy -> confOf#Organization, confOf#hasCountry -> confOf#Country	confOf#hasHomePage -> confOf#string, confOf#hasSurname -> confOf#string, confOf#hasEmail -> confOf#string, confOf#hasPhone -> confOf#string, confOf#hasFax -> confOf#string, confOf#hasPostalCode -> confOf#string, confOf#hasFirstName -> confOf#string, confOf#hasStreet -> confOf#string	edas#Sponsorship	 	edas#TravelGrant	edas#providedBy -> edas#Organization, edas#isProviderOf -> edas#Organization	edas#hasCostAmount -> edas#int, edas#hasCostCurrency -> edas#string	1.232
conference#Topic	 	 	conference#is_a_topis_of_conference_parts -> conference#Conference_part, conference#has_a_track-workshop-tutorial_topic -> conference#Conference_part	conference#has_a_name -> conference#string	edas#Person	 	 	edas#isMemberOf -> edas#Conference, edas#hasMember -> edas#Conference, edas#attendeeAt -> edas#ConferenceEvent, edas#hasAttendee -> edas#ConferenceEvent	edas#hasEmail -> edas#string, edas#hasLastName -> edas#string, edas#hasFirstName -> edas#string, edas#hasBiography -> edas#string	1.232
conference#Co-chair	conference#Co-chair -> conference#Committee_member -> conference#Person	 	conference#was_a_committe_co-chair_of -> conference#Committee, conference#has_a_committee_co-chair -> conference#Committee	 	edas#ConferenceChair	edas#ConferenceChair -> edas#Person	 	edas#initiates -> edas#Call, edas#isInitiatedBy -> edas#Call, edas#isReviewing -> edas#Paper, edas#isReviewedBy -> edas#Paper	 	1.232
