Term 1	Term 2	Label	Ancestors 1	Ancestors 2	Children 1	Children 2	Object Property 1 	Object Property 2	Datatype Property 1	Datatype Property 2	Score
cmt#Author	iasted#Author	TRUE	cmt#Author -> cmt#ConferenceMember -> cmt#Person, cmt#Author -> cmt#User -> cmt#Person	iasted#Author -> iasted#Speaker -> iasted#Delegate -> iasted#Person	cmt#AuthorNotReviewer, cmt#Co-author	iasted#Author_book_proceedings_included, iasted#Author_cd_proceedings_included, iasted#Lecturer, iasted#Tutorial_speaker, iasted#Plenary_lecture_speaker	cmt#submitPaper -> cmt#Paper, cmt#writePaper -> cmt#Paper, cmt#hasAuthor -> cmt#Paper, cmt#markConflictOfInterest -> cmt#Paper	iasted#give -> iasted#Brief_introduction_for_Session_chair, iasted#prepare -> iasted#Transparency, iasted#is_given_by -> iasted#Brief_introduction_for_Session_chair			1.583448016
edas#SocialEvent	ekaw#Social_Event	TRUE	edas#SocialEvent -> edas#NonAcademicEvent -> edas#ConferenceEvent	ekaw#Social_Event -> ekaw#Event	edas#Excursion, edas#Reception	ekaw#Conference_Trip, ekaw#Conference_Banquet					1.574830105
confOf#Social_event	edas#SocialEvent	TRUE	confOf#Social_event -> confOf#Event	edas#SocialEvent -> edas#NonAcademicEvent -> edas#ConferenceEvent	confOf#Reception, confOf#Trip, confOf#Banquet	edas#Reception, edas#Excursion			confOf#maxChoice -> confOf#positiveInteger, confOf#minChoice -> confOf#positiveInteger, confOf#has_short_title -> confOf#string, confOf#has_title -> confOf#string, confOf#hasVAT -> confOf#string, confOf#defaultChoice -> confOf#positiveInteger, confOf#location -> confOf#string		1.571954734
cmt#Review	edas#Review	TRUE	cmt#Review -> cmt#Document	edas#Review -> edas#Document			cmt#writtenBy -> cmt#Reviewer, cmt#writeReview -> cmt#Reviewer, cmt#endReview -> cmt#ProgramCommitteeChair				1.571714627
ekaw#Review	sigkdd#Review	TRUE	ekaw#Review -> ekaw#Document	sigkdd#Review -> sigkdd#Document			ekaw#reviewWrittenBy -> ekaw#Possible_Reviewer, ekaw#hasReview -> ekaw#Paper, ekaw#reviewOfPaper -> ekaw#Paper				1.571714627
cmt#Review	sigkdd#Review	TRUE	cmt#Review -> cmt#Document	sigkdd#Review -> sigkdd#Document			cmt#writtenBy -> cmt#Reviewer, cmt#writeReview -> cmt#Reviewer, cmt#endReview -> cmt#ProgramCommitteeChair				1.571714627
edas#Review	sigkdd#Review	TRUE	edas#Review -> edas#Document	sigkdd#Review -> sigkdd#Document							1.571714627
edas#Review	ekaw#Review	TRUE	edas#Review -> edas#Document	ekaw#Review -> ekaw#Document				ekaw#reviewWrittenBy -> ekaw#Possible_Reviewer, ekaw#hasReview -> ekaw#Paper, ekaw#reviewOfPaper -> ekaw#Paper			1.571714627
conference#Person	sigkdd#Person	TRUE			conference#Conference_participant, conference#Conference_applicant, conference#Reviewer, conference#Conference_contributor, conference#Committee_member, conference#Track-workshop_chair	sigkdd#Speaker, sigkdd#Listener, sigkdd#Organizator	conference#has_authors -> conference#Conference_document, conference#contributes -> conference#Conference_document	sigkdd#can_stay_in -> sigkdd#Place, sigkdd#payed_by -> sigkdd#Registration_fee, sigkdd#can_stay_in -> sigkdd#Hotel, sigkdd#pay -> sigkdd#Registration_fee	conference#has_the_first_name -> conference#string, conference#has_an_email -> conference#string, conference#has_the_last_name -> conference#string	sigkdd#E-mail -> sigkdd#string, sigkdd#Name -> sigkdd#string, sigkdd#Nation -> sigkdd#string	1.563974805
cmt#ProgramCommitteeMember	confOf#Member_PC	TRUE	cmt#ProgramCommitteeMember -> cmt#Person, cmt#ProgramCommitteeMember -> cmt#ConferenceMember -> cmt#Person	confOf#Member_PC -> confOf#Person			cmt#addProgramCommitteeMember -> cmt#Administrator, cmt#hasProgramCommitteeMember -> cmt#ProgramCommittee, cmt#memberOfProgramCommittee -> cmt#ProgramCommittee, cmt#setMaxPapers -> cmt#Administrator, cmt#addedBy -> cmt#Administrator	confOf#expertOn -> confOf#Topic, confOf#expertOn -> confOf#Topic, confOf#reviewes -> confOf#Contribution, confOf#reviewes -> confOf#Contribution	cmt#maxPapers -> cmt#int		1.555811496
confOf#Author	iasted#Author	TRUE	confOf#Author -> confOf#Person	iasted#Author -> iasted#Speaker -> iasted#Delegate -> iasted#Person			confOf#writes -> confOf#Contribution, confOf#writtenBy -> confOf#Contribution, confOf#writes -> confOf#Contribution	iasted#give -> iasted#Brief_introduction_for_Session_chair, iasted#prepare -> iasted#Transparency, iasted#is_given_by -> iasted#Brief_introduction_for_Session_chair			1.554323941
conference#Conference_participant	ekaw#Conference_Participant	TRUE	conference#Conference_participant -> conference#Person	ekaw#Conference_Participant -> ekaw#Person	conference#Active_conference_participant, conference#Passive_conference_participant	ekaw#Late-Registered_Participant, ekaw#Early-Registered_Participant, ekaw#OC_Member, ekaw#Session_Chair, ekaw#Presenter, ekaw#Workshop_Chair, ekaw#PC_Chair, ekaw#Demo_Chair		ekaw#writtenBy -> ekaw#Camera_Ready_Paper			1.542526847
ekaw#Abstract	sigkdd#Abstract	TRUE	ekaw#Abstract -> ekaw#Document	sigkdd#Abstract -> sigkdd#Document			ekaw#paperPresentedAs -> ekaw#Individual_Presentation, ekaw#presentationOfPaper -> ekaw#Individual_Presentation				1.532623969
confOf#Student	ekaw#Student	TRUE	confOf#Student -> confOf#Participant -> confOf#Person	ekaw#Student -> ekaw#Person							1.523274104
iasted#Main_office	sigkdd#Main_office	TRUE	iasted#Main_office -> iasted#Place	sigkdd#Main_office -> sigkdd#Place							1.51589786
edas#Author	sigkdd#Author	TRUE		sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person	edas#Presenter	sigkdd#Author_of_paper, sigkdd#Author_of_paper_student	edas#isWrittenBy -> edas#Paper, edas#hasRelatedPaper -> edas#Paper	sigkdd#obtain -> sigkdd#Award, sigkdd#submit -> sigkdd#Paper, sigkdd#notification_until -> sigkdd#Deadline_Author_notification, sigkdd#notification_until -> sigkdd#Deadline_Author_notification			1.505725643
iasted#Review	sigkdd#Review	TRUE	iasted#Review -> iasted#Document -> iasted#Item	sigkdd#Review -> sigkdd#Document			iasted#is_writen_by -> iasted#Reviewer				1.500488823
edas#Review	iasted#Review	TRUE	edas#Review -> edas#Document	iasted#Review -> iasted#Document -> iasted#Item				iasted#is_writen_by -> iasted#Reviewer			1.500488823
edas#RejectedPaper	ekaw#Rejected_Paper	TRUE	edas#RejectedPaper -> edas#Paper -> edas#Document	ekaw#Rejected_Paper -> ekaw#Evaluated_Paper -> ekaw#Assigned_Paper -> ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document							1.498655774
cmt#Administrator	confOf#Administrator	TRUE	cmt#Administrator -> cmt#User -> cmt#Person	confOf#Administrator -> confOf#Person			cmt#paperAssignmentToolsRunBy -> cmt#Conference, cmt#enterReviewCriteria -> cmt#Conference, cmt#acceptedBy -> cmt#Paper, cmt#addProgramCommitteeMember -> cmt#ProgramCommitteeMember, cmt#runPaperAssignmentTools -> cmt#Conference, cmt#rejectPaper -> cmt#Paper, cmt#enableVirtualMeeting -> cmt#Conference, cmt#assignReviewer -> cmt#Reviewer, cmt#virtualMeetingEnabledBy -> cmt#Conference, cmt#detailsEnteredBy -> cmt#Conference, cmt#reviewCriteriaEnteredBy -> cmt#Conference, cmt#printHardcopyMailingManifests -> cmt#Conference, cmt#assignedByAdministrator -> cmt#Reviewer, cmt#enterConferenceDetails -> cmt#Conference, cmt#rejectedBy -> cmt#Paper, cmt#reviewerBiddingStartedBy -> cmt#Conference, cmt#hardcopyMailingManifestsPrintedBy -> cmt#Conference, cmt#paperAssignmentFinalizedBy -> cmt#Conference, cmt#startReviewerBidding -> cmt#Conference, cmt#finalizePaperAssignment -> cmt#Conference, cmt#setMaxPapers -> cmt#ProgramCommitteeMember, cmt#addedBy -> cmt#ProgramCommitteeMember, cmt#acceptPaper -> cmt#Paper				1.49456621
edas#Conference	sigkdd#Conference	TRUE					edas#hasRelatedDocument -> edas#Document, edas#isMemberOf -> edas#Person, edas#isTopicOf -> edas#Topic, edas#relatesTo -> edas#Document, edas#hasTopic -> edas#Topic, edas#hasMember -> edas#Person, edas#hasCountry -> edas#Country	sigkdd#hold -> sigkdd#ACM_SIGKDD, sigkdd#holded_by -> sigkdd#ACM_SIGKDD, sigkdd#hold -> sigkdd#ACM_SIGKDD	edas#paperDueOn -> edas#dateTime, edas#registrationDueOn -> edas#dateTime, edas#endDate -> edas#dateTime, edas#startDate -> edas#dateTime, edas#manuscriptDueOn -> edas#dateTime, edas#hasName -> edas#string	sigkdd#End_of_conference -> sigkdd#dateTime, sigkdd#Start_of_conference -> sigkdd#dateTime, sigkdd#Name_of_conference -> sigkdd#string, sigkdd#City_of_conference -> sigkdd#string	1.493382387
ekaw#Session	iasted#Session	TRUE	ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	iasted#Session -> iasted#Lecture -> iasted#Conference_activity -> iasted#Activity	ekaw#Conference_Session, ekaw#Workshop_Session, ekaw#Poster_Session, ekaw#Demo_Session, ekaw#Regular_Session	iasted#Speaker_lecture	ekaw#hasEvent -> ekaw#Individual_Presentation	iasted#is_held_in -> iasted#Session_room			1.493202892
cmt#Author	edas#Author	TRUE	cmt#Author -> cmt#ConferenceMember -> cmt#Person, cmt#Author -> cmt#User -> cmt#Person		cmt#Co-author, cmt#AuthorNotReviewer	edas#Presenter	cmt#submitPaper -> cmt#Paper, cmt#writePaper -> cmt#Paper, cmt#hasAuthor -> cmt#Paper, cmt#markConflictOfInterest -> cmt#Paper	edas#isWrittenBy -> edas#Paper, edas#hasRelatedPaper -> edas#Paper			1.492447255
iasted#Person	sigkdd#Person	TRUE			iasted#Delegate, iasted#Sponsor	sigkdd#Listener, sigkdd#Speaker, sigkdd#Organizator	iasted#is_signed_by -> iasted#Item, iasted#pay -> iasted#Money, iasted#is_designed_for -> iasted#Time, iasted#is_designed_for -> iasted#Money, iasted#is_visited_by -> iasted#State, iasted#is_connected_with -> iasted#Place, iasted#occupy -> iasted#Building, iasted#sign -> iasted#Item, iasted#occupy -> iasted#State, iasted#is_occupied_by -> iasted#Building, iasted#is_used_by -> iasted#Item, iasted#speak_in -> iasted#Place, iasted#is_prepared_by -> iasted#Item, iasted#occupy -> iasted#City, iasted#is_present_in -> iasted#Time, iasted#is_present_in -> iasted#Place, iasted#speak_in -> iasted#Time, iasted#give -> iasted#Activity, iasted#is_paid_by -> iasted#Money, iasted#send -> iasted#Item, iasted#is_given_by -> iasted#Activity, iasted#prepare -> iasted#Item, iasted#is_designed_for -> iasted#Activity, iasted#is_writen_by -> iasted#Item, iasted#is_visited_by -> iasted#City, iasted#is_sent_by -> iasted#Item, iasted#give -> iasted#Item, iasted#is_visited_by -> iasted#Building, iasted#is_needed_for -> iasted#Item, iasted#is_present -> iasted#Time, iasted#is_given_by -> iasted#Item, iasted#is_connected_with -> iasted#Item, iasted#is_occupied_by -> iasted#State, iasted#is_occupied_by -> iasted#City, iasted#need -> iasted#Item, iasted#is_given_to -> iasted#Item, iasted#write -> iasted#Item, iasted#obtain -> iasted#Item	sigkdd#can_stay_in -> sigkdd#Place, sigkdd#payed_by -> sigkdd#Registration_fee, sigkdd#can_stay_in -> sigkdd#Hotel, sigkdd#pay -> sigkdd#Registration_fee		sigkdd#E-mail -> sigkdd#string, sigkdd#Name -> sigkdd#string, sigkdd#Nation -> sigkdd#string	1.486800743
confOf#University	ekaw#University	TRUE	confOf#University -> confOf#Organization	ekaw#University -> ekaw#Academic_Institution -> ekaw#Organisation			confOf#studyAt -> confOf#Scholar, confOf#studyAt -> confOf#Scholar				1.473099472
conference#Review	sigkdd#Review	TRUE	conference#Review -> conference#Conference_document	sigkdd#Review -> sigkdd#Document			conference#has_a_review -> conference#Reviewed_contribution, conference#reviews -> conference#Reviewed_contribution				1.468052306
conference#Review	edas#Review	TRUE	conference#Review -> conference#Conference_document	edas#Review -> edas#Document			conference#has_a_review -> conference#Reviewed_contribution, conference#reviews -> conference#Reviewed_contribution				1.468052306
iasted#Conference_hall	sigkdd#Conference_hall	TRUE	iasted#Conference_hall -> iasted#Place	sigkdd#Conference_hall -> sigkdd#Place			iasted#is_situated_in -> iasted#Conference_building, iasted#speak_in -> iasted#Plenary_lecture_speaker, iasted#speak_in -> iasted#Tutorial_speaker				1.467933851
iasted#Listener	sigkdd#Listener	TRUE	iasted#Listener -> iasted#Delegate -> iasted#Person	sigkdd#Listener -> sigkdd#Person			iasted#is_designed_for -> iasted#Lecture, iasted#sign -> iasted#Record_of_attendance, iasted#is_designed_for -> iasted#Audiovisual_equipment, iasted#is_signed_by -> iasted#Record_of_attendance				1.466863011
iasted#Place	sigkdd#Place	TRUE			iasted#Conference_hall, iasted#Main_office, iasted#Hotel_room, iasted#Session_room, iasted#Building	sigkdd#Conference_hall, sigkdd#Main_office, sigkdd#Hotel	iasted#is_situated_in -> iasted#City, iasted#is_situated_in -> iasted#City, iasted#is_connected_with -> iasted#Person, iasted#is_equipped_by -> iasted#Item, iasted#speak_in -> iasted#Person, iasted#is_connected_with -> iasted#Activity, iasted#is_present_in -> iasted#Person, iasted#is_situated_in -> iasted#Conference_state, iasted#is_situated_in -> iasted#Building, iasted#is_situated_in -> iasted#Building, iasted#is_situated_in -> iasted#Conference_city, iasted#is_situated_in -> iasted#State, iasted#is_held_in -> iasted#Activity	sigkdd#can_stay_in -> sigkdd#Person			1.465036748
cmt#Paper	conference#Paper	TRUE	cmt#Paper -> cmt#Document	conference#Paper -> conference#Regular_contribution -> conference#Written_contribution -> conference#Conference_contribution -> conference#Conference_document			cmt#acceptedBy -> cmt#Administrator, cmt#readByMeta-Reviewer -> cmt#Meta-Reviewer, cmt#readByReviewer -> cmt#Reviewer, cmt#markConflictOfInterest -> cmt#Reviewer, cmt#rejectPaper -> cmt#Administrator, cmt#submitPaper -> cmt#Author, cmt#readPaper -> cmt#Reviewer, cmt#writePaper -> cmt#Author, cmt#hasAuthor -> cmt#Author, cmt#hasSubjectArea -> cmt#SubjectArea, cmt#rejectedBy -> cmt#Administrator, cmt#assignedTo -> cmt#Reviewer, cmt#hasBid -> cmt#Bid, cmt#markConflictOfInterest -> cmt#Chairman, cmt#co-writePaper -> cmt#Co-author, cmt#hasCo-author -> cmt#Co-author, cmt#markConflictOfInterest -> cmt#Author, cmt#hasBeenAssigned -> cmt#Reviewer, cmt#acceptPaper -> cmt#Administrator, cmt#hasDecision -> cmt#Decision	conference#is_the_1th_part_of -> conference#Abstract, conference#has_an_abstract -> conference#Abstract	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string		1.462271611
confOf#Person	iasted#Person	TRUE			confOf#Participant, confOf#Assistant, confOf#Administrator, confOf#Volunteer, confOf#Scholar, confOf#Author, confOf#Science_Worker, confOf#Member_PC	iasted#Delegate, iasted#Sponsor	confOf#hasCountry -> confOf#Country, confOf#hasCity -> confOf#City, confOf#hasCity -> confOf#City, confOf#employedBy -> confOf#Organization, confOf#employedBy -> confOf#Organization	iasted#is_signed_by -> iasted#Item, iasted#pay -> iasted#Money, iasted#is_designed_for -> iasted#Time, iasted#is_designed_for -> iasted#Money, iasted#is_visited_by -> iasted#State, iasted#is_connected_with -> iasted#Place, iasted#occupy -> iasted#Building, iasted#sign -> iasted#Item, iasted#occupy -> iasted#State, iasted#is_occupied_by -> iasted#Building, iasted#is_used_by -> iasted#Item, iasted#speak_in -> iasted#Place, iasted#is_prepared_by -> iasted#Item, iasted#occupy -> iasted#City, iasted#is_present_in -> iasted#Time, iasted#is_present_in -> iasted#Place, iasted#speak_in -> iasted#Time, iasted#give -> iasted#Activity, iasted#is_paid_by -> iasted#Money, iasted#send -> iasted#Item, iasted#is_given_by -> iasted#Activity, iasted#prepare -> iasted#Item, iasted#is_designed_for -> iasted#Activity, iasted#is_writen_by -> iasted#Item, iasted#is_visited_by -> iasted#City, iasted#is_sent_by -> iasted#Item, iasted#give -> iasted#Item, iasted#is_visited_by -> iasted#Building, iasted#is_needed_for -> iasted#Item, iasted#is_present -> iasted#Time, iasted#is_given_by -> iasted#Item, iasted#is_connected_with -> iasted#Item, iasted#is_occupied_by -> iasted#State, iasted#is_occupied_by -> iasted#City, iasted#need -> iasted#Item, iasted#is_given_to -> iasted#Item, iasted#write -> iasted#Item, iasted#obtain -> iasted#Item	confOf#hasHomePage -> confOf#string, confOf#hasSurname -> confOf#string, confOf#hasEmail -> confOf#string, confOf#hasPhone -> confOf#string, confOf#hasFax -> confOf#string, confOf#hasPostalCode -> confOf#string, confOf#hasFirstName -> confOf#string, confOf#hasStreet -> confOf#string		1.461940749
cmt#Document	edas#Document	TRUE			cmt#Paper, cmt#Review	edas#Paper, edas#Review, edas#Programme, edas#MealMenu, edas#SlideSet	cmt#hasConflictOfInterest -> cmt#Person	edas#relatesTo -> edas#AcademicEvent, edas#hasRelatedDocument -> edas#Conference, edas#relatesTo -> edas#ConferenceSession, edas#relatesTo -> edas#Conference, edas#relatesTo -> edas#Person, edas#hasRelatedDocument -> edas#Person, edas#hasRelatedDocument -> edas#ConferenceSession, edas#hasRelatedDocument -> edas#AcademicEvent			1.456482347
conference#Paper	edas#Paper	TRUE	conference#Paper -> conference#Regular_contribution -> conference#Written_contribution -> conference#Conference_contribution -> conference#Conference_document	edas#Paper -> edas#Document			conference#is_the_1th_part_of -> conference#Abstract, conference#has_an_abstract -> conference#Abstract	edas#isReviewedBy -> edas#SessionChair, edas#isReviewing -> edas#ConferenceChair, edas#isTopicOf -> edas#Topic, edas#isReviewing -> edas#Reviewer, edas#isReviewedBy -> edas#TPCMember, edas#isReviewing -> edas#SessionChair, edas#isReviewedBy -> edas#ConferenceChair, edas#isReviewing -> edas#TPCMember, edas#isWrittenBy -> edas#Author, edas#isReviewedBy -> edas#Reviewer, edas#hasTopic -> edas#Topic, edas#hasRelatedPaper -> edas#Author			1.4530235
cmt#Conference	sigkdd#Conference	TRUE					cmt#paperAssignmentToolsRunBy -> cmt#Administrator, cmt#enterReviewCriteria -> cmt#Administrator, cmt#runPaperAssignmentTools -> cmt#Administrator, cmt#hasConferenceMember -> cmt#ConferenceMember, cmt#enableVirtualMeeting -> cmt#Administrator, cmt#virtualMeetingEnabledBy -> cmt#Administrator, cmt#detailsEnteredBy -> cmt#Administrator, cmt#reviewCriteriaEnteredBy -> cmt#Administrator, cmt#printHardcopyMailingManifests -> cmt#Administrator, cmt#enterConferenceDetails -> cmt#Administrator, cmt#reviewerBiddingStartedBy -> cmt#Administrator, cmt#hardcopyMailingManifestsPrintedBy -> cmt#Administrator, cmt#paperAssignmentFinalizedBy -> cmt#Administrator, cmt#startReviewerBidding -> cmt#Administrator, cmt#finalizePaperAssignment -> cmt#Administrator, cmt#memberOfConference -> cmt#ConferenceMember	sigkdd#hold -> sigkdd#ACM_SIGKDD, sigkdd#holded_by -> sigkdd#ACM_SIGKDD, sigkdd#hold -> sigkdd#ACM_SIGKDD	cmt#siteURL -> cmt#anyURI, cmt#acceptsHardcopySubmissions -> cmt#boolean, cmt#logoURL -> cmt#anyURI, cmt#reviewsPerPaper -> cmt#int, cmt#name -> cmt#string, cmt#date -> cmt#date	sigkdd#End_of_conference -> sigkdd#dateTime, sigkdd#Start_of_conference -> sigkdd#dateTime, sigkdd#Name_of_conference -> sigkdd#string, sigkdd#City_of_conference -> sigkdd#string	1.450795753
edas#Document	ekaw#Document	TRUE			edas#Paper, edas#Review, edas#Programme, edas#MealMenu	ekaw#Paper, ekaw#Review, ekaw#Programme_Brochure, ekaw#Abstract, ekaw#Web_Site, ekaw#Flyer	edas#relatesTo -> edas#AcademicEvent, edas#hasRelatedDocument -> edas#Conference, edas#relatesTo -> edas#ConferenceSession, edas#relatesTo -> edas#Conference, edas#relatesTo -> edas#Person, edas#hasRelatedDocument -> edas#Person, edas#hasRelatedDocument -> edas#ConferenceSession, edas#hasRelatedDocument -> edas#AcademicEvent	ekaw#writtenBy -> ekaw#Person, ekaw#authorOf -> ekaw#Person			1.449248072
cmt#Paper	confOf#Paper	TRUE	cmt#Paper -> cmt#Document	confOf#Paper -> confOf#Contribution			cmt#acceptedBy -> cmt#Administrator, cmt#readByMeta-Reviewer -> cmt#Meta-Reviewer, cmt#readByReviewer -> cmt#Reviewer, cmt#markConflictOfInterest -> cmt#Reviewer, cmt#rejectPaper -> cmt#Administrator, cmt#submitPaper -> cmt#Author, cmt#readPaper -> cmt#Reviewer, cmt#writePaper -> cmt#Author, cmt#hasAuthor -> cmt#Author, cmt#hasSubjectArea -> cmt#SubjectArea, cmt#rejectedBy -> cmt#Administrator, cmt#assignedTo -> cmt#Reviewer, cmt#hasBid -> cmt#Bid, cmt#markConflictOfInterest -> cmt#Chairman, cmt#co-writePaper -> cmt#Co-author, cmt#hasCo-author -> cmt#Co-author, cmt#markConflictOfInterest -> cmt#Author, cmt#hasBeenAssigned -> cmt#Reviewer, cmt#acceptPaper -> cmt#Administrator, cmt#hasDecision -> cmt#Decision		cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string		1.445051314
confOf#Paper	sigkdd#Paper	TRUE	confOf#Paper -> confOf#Contribution	sigkdd#Paper -> sigkdd#Document				sigkdd#submit -> sigkdd#Author			1.445051314
confOf#Paper	edas#Paper	TRUE	confOf#Paper -> confOf#Contribution	edas#Paper -> edas#Document				edas#isReviewedBy -> edas#SessionChair, edas#isReviewing -> edas#ConferenceChair, edas#isTopicOf -> edas#Topic, edas#isReviewing -> edas#Reviewer, edas#isReviewedBy -> edas#TPCMember, edas#isReviewing -> edas#SessionChair, edas#isReviewedBy -> edas#ConferenceChair, edas#isReviewing -> edas#TPCMember, edas#isWrittenBy -> edas#Author, edas#isReviewedBy -> edas#Reviewer, edas#hasTopic -> edas#Topic, edas#hasRelatedPaper -> edas#Author			1.445051314
cmt#ConferenceChair	edas#ConferenceChair	TRUE	cmt#ConferenceChair -> cmt#ConferenceMember -> cmt#Person	edas#ConferenceChair -> edas#Person				edas#initiates -> edas#Call, edas#isReviewing -> edas#Paper, edas#isInitiatedBy -> edas#Call, edas#isReviewedBy -> edas#Paper			1.444842917
cmt#Person	ekaw#Person	TRUE			cmt#ConferenceMember, cmt#User, cmt#ExternalReviewer, cmt#Chairman, cmt#ProgramCommitteeMember	ekaw#Conference_Participant, ekaw#Student, ekaw#Possible_Reviewer, ekaw#Agency_Staff_Member, ekaw#Paper_Author	cmt#hasConflictOfInterest -> cmt#Document	ekaw#organises -> ekaw#Event, ekaw#writtenBy -> ekaw#Document, ekaw#organisedBy -> ekaw#Event, ekaw#authorOf -> ekaw#Document	cmt#email -> cmt#string, cmt#name -> cmt#string		1.444162871
confOf#Workshop	ekaw#Workshop	TRUE	confOf#Workshop -> confOf#Working_event -> confOf#Event	ekaw#Workshop -> ekaw#Scientific_Event -> ekaw#Event							1.443826166
confOf#Conference	ekaw#Conference	TRUE	confOf#Conference -> confOf#Working_event -> confOf#Event	ekaw#Conference -> ekaw#Scientific_Event -> ekaw#Event				ekaw#partOfEvent -> ekaw#Conference_Session			1.441257953
edas#Person	ekaw#Person	TRUE			edas#Attendee, edas#ConferenceChair, edas#SessionChair, edas#TPCMember	ekaw#Conference_Participant, ekaw#Student, ekaw#Agency_Staff_Member, ekaw#Paper_Author, ekaw#Possible_Reviewer	edas#attendeeAt -> edas#ConferenceEvent, edas#isMemberOf -> edas#Conference, edas#relatesTo -> edas#Document, edas#hasRelatedDocument -> edas#Document, edas#hasMember -> edas#Conference, edas#hasAttendee -> edas#ConferenceEvent	ekaw#organises -> ekaw#Event, ekaw#writtenBy -> ekaw#Document, ekaw#organisedBy -> ekaw#Event, ekaw#authorOf -> ekaw#Document	edas#hasEmail -> edas#string, edas#hasLastName -> edas#string, edas#hasFirstName -> edas#string, edas#hasBiography -> edas#string		1.436903474
cmt#Document	ekaw#Document	TRUE			cmt#Paper, cmt#Review	ekaw#Paper, ekaw#Review, ekaw#Abstract, ekaw#Web_Site, ekaw#Flyer, ekaw#Programme_Brochure, ekaw#Multi-author_Volume	cmt#hasConflictOfInterest -> cmt#Person	ekaw#writtenBy -> ekaw#Person, ekaw#authorOf -> ekaw#Person			1.427574168
conference#Paper	sigkdd#Paper	TRUE	conference#Paper -> conference#Regular_contribution -> conference#Written_contribution -> conference#Conference_contribution -> conference#Conference_document	sigkdd#Paper -> sigkdd#Document			conference#is_the_1th_part_of -> conference#Abstract, conference#has_an_abstract -> conference#Abstract	sigkdd#submit -> sigkdd#Author			1.427450864
edas#SessionChair	ekaw#Session_Chair	TRUE	edas#SessionChair -> edas#Person	ekaw#Session_Chair -> ekaw#PC_Member -> ekaw#Possible_Reviewer -> ekaw#Person, ekaw#Session_Chair -> ekaw#Conference_Participant -> ekaw#Person			edas#isInitiatedBy -> edas#Call, edas#isReviewedBy -> edas#Paper, edas#initiates -> edas#Call, edas#isReviewing -> edas#Paper				1.407635085
conference#Invited_speaker	sigkdd#Invited_Speaker	TRUE	conference#Invited_speaker -> conference#Conference_contributor -> conference#Person	sigkdd#Invited_Speaker -> sigkdd#Speaker -> sigkdd#Person							1.404275114
ekaw#Invited_Speaker	sigkdd#Invited_Speaker	TRUE	ekaw#Invited_Speaker -> ekaw#Presenter -> ekaw#Conference_Participant -> ekaw#Person	sigkdd#Invited_Speaker -> sigkdd#Speaker -> sigkdd#Person							1.40180025
confOf#Reception	edas#Reception	TRUE	confOf#Reception -> confOf#Social_event -> confOf#Event	edas#Reception -> edas#SocialEvent -> edas#NonAcademicEvent -> edas#ConferenceEvent							1.400070585
cmt#Reviewer	edas#Reviewer	TRUE	cmt#Reviewer -> cmt#ConferenceMember -> cmt#Person, cmt#Reviewer -> cmt#User -> cmt#Person				cmt#readByReviewer -> cmt#Paper, cmt#markConflictOfInterest -> cmt#Paper, cmt#readPaper -> cmt#Paper, cmt#assignReviewer -> cmt#Administrator, cmt#writtenBy -> cmt#Review, cmt#assignedByAdministrator -> cmt#Administrator, cmt#adjustedBy -> cmt#Bid, cmt#assignedTo -> cmt#Paper, cmt#adjustBid -> cmt#Bid, cmt#assignedByReviewer -> cmt#ExternalReviewer, cmt#writeReview -> cmt#Review, cmt#hasBeenAssigned -> cmt#Paper, cmt#assignExternalReviewer -> cmt#ExternalReviewer	edas#hasReviewHistory -> edas#PersonalReviewHistory, edas#isReviewing -> edas#Paper, edas#isReviewedBy -> edas#Paper, edas#isReviewHistoryOf -> edas#PersonalReviewHistory			1.4
conference#Conference	sigkdd#Conference	TRUE						sigkdd#hold -> sigkdd#ACM_SIGKDD, sigkdd#holded_by -> sigkdd#ACM_SIGKDD, sigkdd#hold -> sigkdd#ACM_SIGKDD	conference#has_a_name -> conference#string	sigkdd#End_of_conference -> sigkdd#dateTime, sigkdd#Start_of_conference -> sigkdd#dateTime, sigkdd#Name_of_conference -> sigkdd#string, sigkdd#City_of_conference -> sigkdd#string	1.4
confOf#City	iasted#City	TRUE					confOf#hasCity -> confOf#Organization, confOf#hasCity -> confOf#Person, confOf#hasCity -> confOf#Person	iasted#is_situated_in -> iasted#Building, iasted#is_situated_in -> iasted#Place, iasted#is_situated_in -> iasted#Place, iasted#is_situated_in -> iasted#State, iasted#occupy -> iasted#Person, iasted#is_situated_in -> iasted#State, iasted#is_situated_in -> iasted#Building, iasted#is_visited_by -> iasted#Person, iasted#is_occupied_by -> iasted#Person			1.4
