Term 1	Term 2	Label (Arvind)	Label (Harshit)	Label (Vivek)	Ancestors 1	Ancestors 2	Children 1	Children 2	Object Property 1 	Object Property 2	Datatype Property 1	Datatype Property 2	Score
ekaw#Workshop_Session	iasted#Session_room				ekaw#Workshop_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	iasted#Session_room -> iasted#Place							0.997
cmt#Paper	edas#PaperPresentation				cmt#Paper -> cmt#Document	edas#PaperPresentation -> edas#AcademicEvent -> edas#ConferenceEvent			cmt#hasBid -> cmt#Bid, cmt#readByReviewer -> cmt#Reviewer, cmt#markConflictOfInterest -> cmt#Reviewer	edas#relatedToPaper -> edas#AcceptedPaper, edas#relatedToEvent -> edas#AcceptedPaper	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string		0.997
edas#ActivePaper	iasted#Submission				edas#ActivePaper -> edas#Paper -> edas#Document	iasted#Submission -> iasted#Document -> iasted#Item	edas#RatedPapers	iasted#Final_manuscript, iasted#Initial_manuscipt	edas#hasRating -> edas#ReviewRating	iasted#is_writen_by -> iasted#Speaker			0.997
cmt#Paper	iasted#Invitation_letter				cmt#Paper -> cmt#Document	iasted#Invitation_letter -> iasted#Document -> iasted#Item			cmt#markConflictOfInterest -> cmt#Chairman, cmt#acceptedBy -> cmt#Administrator, cmt#rejectPaper -> cmt#Administrator	iasted#is_designed_for -> iasted#Delegate, iasted#obtain -> iasted#Delegate	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string		0.997
cmt#ConferenceChair	sigkdd#Conference_hall				cmt#ConferenceChair -> cmt#ConferenceMember -> cmt#Person	sigkdd#Conference_hall -> sigkdd#Place							0.997
cmt#ConferenceChair	iasted#Conference_hall				cmt#ConferenceChair -> cmt#ConferenceMember -> cmt#Person	iasted#Conference_hall -> iasted#Place							0.997
ekaw#Conference_Participant	iasted#Non_speaker				ekaw#Conference_Participant -> ekaw#Person	iasted#Non_speaker -> iasted#Delegate -> iasted#Person	ekaw#Session_Chair, ekaw#Late-Registered_Participant, ekaw#Presenter, ekaw#Early-Registered_Participant	iasted#Student_non_speaker, iasted#Worker_non_speaker	ekaw#writtenBy -> ekaw#Camera_Ready_Paper	iasted#is_designed_for -> iasted#Nonauthor_registration_fee			0.996
conference#Presentation	sigkdd#Speaker				conference#Presentation -> conference#Conference_contribution -> conference#Conference_document	sigkdd#Speaker -> sigkdd#Person	conference#Invited_talk	sigkdd#Invited_Speaker, sigkdd#Author	conference#is_the_1th_part_of -> conference#Abstract, conference#has_an_abstract -> conference#Abstract, conference#gives_presentations -> conference#Active_conference_participant	sigkdd#presentationed_by -> sigkdd#Document, sigkdd#presentation -> sigkdd#Document			0.996
cmt#Paper	iasted#Registration_form				cmt#Paper -> cmt#Document	iasted#Registration_form -> iasted#Form -> iasted#Document -> iasted#Item			cmt#markConflictOfInterest -> cmt#Chairman, cmt#acceptedBy -> cmt#Administrator, cmt#rejectPaper -> cmt#Administrator	iasted#send -> iasted#Delegate, iasted#is_sent_by -> iasted#Delegate	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string		0.996
cmt#Reviewer	edas#TPCMember				cmt#Reviewer -> cmt#ConferenceMember -> cmt#Person, cmt#Reviewer -> cmt#User -> cmt#Person	edas#TPCMember -> edas#Person			cmt#readByReviewer -> cmt#Paper, cmt#markConflictOfInterest -> cmt#Paper, cmt#readPaper -> cmt#Paper	edas#isReviewedBy -> edas#Paper, edas#isReviewing -> edas#Paper			0.996
cmt#Reviewer	edas#Presenter				cmt#Reviewer -> cmt#ConferenceMember -> cmt#Person, cmt#Reviewer -> cmt#User -> cmt#Person	edas#Presenter -> edas#Author							0.996
cmt#ConferenceMember	iasted#IASTED_member				cmt#ConferenceMember -> cmt#Person	iasted#IASTED_member -> iasted#Delegate -> iasted#Person			cmt#hasConferenceMember -> cmt#Conference, cmt#memberOfConference -> cmt#Conference	iasted#is_designed_for -> iasted#Memeber_registration_fee			0.996
iasted#Building	sigkdd#Place				iasted#Building -> iasted#Place		iasted#Conference_building, iasted#Conference_hotel, iasted#Conference_restaurant, iasted#Conference_airport, iasted#Presenter_house	sigkdd#Conference_hall, sigkdd#Hotel, sigkdd#Main_office	iasted#occupy -> iasted#Person, iasted#is_occupied_by -> iasted#Person, iasted#is_visited_by -> iasted#Person, iasted#is_situated_in -> iasted#City, iasted#is_situated_in -> iasted#State	sigkdd#can_stay_in -> sigkdd#Person			0.996
confOf#Social_event	iasted#Social_program				confOf#Social_event -> confOf#Event	iasted#Social_program -> iasted#Conference_activity -> iasted#Activity	confOf#Banquet, confOf#Reception, confOf#Trip	iasted#Dinner_banquet			confOf#maxChoice -> confOf#positiveInteger, confOf#minChoice -> confOf#positiveInteger, confOf#has_short_title -> confOf#string, confOf#has_title -> confOf#string, confOf#hasVAT -> confOf#string, confOf#defaultChoice -> confOf#positiveInteger, confOf#location -> confOf#string		0.996
conference#Track-workshop_chair	iasted#Session_chair				conference#Track-workshop_chair -> conference#Person	iasted#Session_chair -> iasted#Delegate -> iasted#Person			conference#was_a_track-workshop_chair_of -> conference#Conference_part, conference#has_a_track-workshop-tutorial_chair -> conference#Conference_part	iasted#is_given_to -> iasted#Brief_introduction_for_Session_chair, iasted#obtain -> iasted#Brief_introduction_for_Session_chair			0.996
ekaw#Conference_Participant	sigkdd#Author				ekaw#Conference_Participant -> ekaw#Person	sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person	ekaw#Presenter, ekaw#Late-Registered_Participant, ekaw#Early-Registered_Participant, ekaw#OC_Member	sigkdd#Author_of_paper, sigkdd#Author_of_paper_student	ekaw#writtenBy -> ekaw#Camera_Ready_Paper	sigkdd#submit -> sigkdd#Paper, sigkdd#notification_until -> sigkdd#Deadline_Author_notification, sigkdd#obtain -> sigkdd#Award			0.996
edas#ConferenceChair	sigkdd#Invited_Speaker				edas#ConferenceChair -> edas#Person	sigkdd#Invited_Speaker -> sigkdd#Speaker -> sigkdd#Person							0.996
ekaw#Conference_Trip	iasted#Conference_city				ekaw#Conference_Trip -> ekaw#Social_Event -> ekaw#Event	iasted#Conference_city -> iasted#City							0.995
confOf#Administrative_event	edas#TalkEvent				confOf#Administrative_event -> confOf#Event	edas#TalkEvent -> edas#AcademicEvent -> edas#ConferenceEvent	confOf#Submission_event, confOf#Reviewing_event, confOf#Camera_Ready_event, confOf#Registration_of_participants_event	edas#ClosingTalk, edas#WelcomeTalk					0.995
iasted#Conference_restaurant	sigkdd#Hotel				iasted#Conference_restaurant -> iasted#Building -> iasted#Place	sigkdd#Hotel -> sigkdd#Place			iasted#is_occupied_by -> iasted#Delegate, iasted#is_paid_in -> iasted#Tip, iasted#is_situated_in -> iasted#Conference_city, iasted#is_situated_in -> iasted#Conference_state	sigkdd#can_stay_in -> sigkdd#Person			0.995
conference#Review	ekaw#Neutral_Review				conference#Review -> conference#Conference_document	ekaw#Neutral_Review -> ekaw#Review -> ekaw#Document							0.995
confOf#Assistant	iasted#Delegate				confOf#Assistant -> confOf#Person	iasted#Delegate -> iasted#Person							0.995
edas#PendingPaper	ekaw#Conference_Paper				edas#PendingPaper -> edas#Paper -> edas#Document	ekaw#Conference_Paper -> ekaw#Paper -> ekaw#Document							0.995
confOf#Paper	ekaw#Conference_Paper				confOf#Paper -> confOf#Contribution	ekaw#Conference_Paper -> ekaw#Paper -> ekaw#Document							0.994
edas#PendingPaper	ekaw#Workshop_Paper				edas#PendingPaper -> edas#Paper -> edas#Document	ekaw#Workshop_Paper -> ekaw#Paper -> ekaw#Document							0.994
confOf#Scholar	iasted#Presenter_city				confOf#Scholar -> confOf#Person	iasted#Presenter_city -> iasted#City			confOf#studyAt -> confOf#University	iasted#is_situated_in -> iasted#Presenter_university, iasted#is_situated_in -> iasted#Presenter_house, iasted#is_occupied_by -> iasted#Delegate, iasted#occupy -> iasted#Delegate			0.994
conference#Conference_applicant	confOf#Participant				conference#Conference_applicant -> conference#Person	confOf#Participant -> confOf#Person	conference#Registeered_applicant	confOf#Student, confOf#Member, confOf#Regular				confOf#earlyRegistration -> confOf#boolean	0.994
confOf#Participant	ekaw#Late-Registered_Participant				confOf#Participant -> confOf#Person	ekaw#Late-Registered_Participant -> ekaw#Conference_Participant -> ekaw#Person					confOf#earlyRegistration -> confOf#boolean		0.994
ekaw#Industrial_Paper	iasted#Document				ekaw#Industrial_Paper -> ekaw#Paper -> ekaw#Document	iasted#Document -> iasted#Item							0.994
edas#ConferenceChair	ekaw#Possible_Reviewer				edas#ConferenceChair -> edas#Person	ekaw#Possible_Reviewer -> ekaw#Person			edas#isReviewing -> edas#Paper, edas#isReviewedBy -> edas#Paper, edas#initiates -> edas#Call, edas#isInitiatedBy -> edas#Call	ekaw#hasReviewer -> ekaw#Paper, ekaw#reviewerOfPaper -> ekaw#Paper, ekaw#reviewWrittenBy -> ekaw#Review			0.994
iasted#Conference_city	sigkdd#Conference_hall				iasted#Conference_city -> iasted#City	sigkdd#Conference_hall -> sigkdd#Place							0.993
edas#Call	iasted#Activity						edas#CallForPapers, edas#CallForReviews	iasted#Conference_activity, iasted#Activity_after_conference, iasted#Activity_before_conference	edas#isInitiatedBy -> edas#SessionChair, edas#initiates -> edas#SessionChair, edas#initiates -> edas#ConferenceChair	iasted#is_connected_with -> iasted#Place, iasted#is_held_in -> iasted#Place, iasted#give -> iasted#Person, iasted#is_given_by -> iasted#Person	edas#hasSubmissionDeadline -> edas#dateTime, edas#hasSubmissionInstructions -> edas#string	iasted#is_dated_on -> iasted#dateTime	0.993
confOf#Person	edas#Call						confOf#Volunteer, confOf#Assistant, confOf#Participant, confOf#Author	edas#CallForPapers, edas#CallForReviews, edas#CallForManuscripts	confOf#employedBy -> confOf#Organization, confOf#hasCity -> confOf#City	edas#initiates -> edas#ConferenceChair, edas#isInitiatedBy -> edas#ConferenceChair	confOf#hasHomePage -> confOf#string, confOf#hasSurname -> confOf#string, confOf#hasEmail -> confOf#string, confOf#hasPhone -> confOf#string, confOf#hasFax -> confOf#string, confOf#hasPostalCode -> confOf#string, confOf#hasFirstName -> confOf#string, confOf#hasStreet -> confOf#string	edas#hasSubmissionDeadline -> edas#dateTime, edas#hasSubmissionInstructions -> edas#string	0.993
conference#Presentation	ekaw#Conference_Session				conference#Presentation -> conference#Conference_contribution -> conference#Conference_document	ekaw#Conference_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	conference#Invited_talk	ekaw#Industrial_Session	conference#gives_presentations -> conference#Active_conference_participant, conference#is_given_by -> conference#Active_conference_participant, conference#is_the_1th_part_of -> conference#Abstract, conference#has_an_abstract -> conference#Abstract	ekaw#partOfEvent -> ekaw#Conference			0.993
iasted#Single_hotel_room	sigkdd#Hotel				iasted#Single_hotel_room -> iasted#Hotel_room -> iasted#Place	sigkdd#Hotel -> sigkdd#Place							0.993
conference#Committee_member	iasted#Lecturer				conference#Committee_member -> conference#Person	iasted#Lecturer -> iasted#Author -> iasted#Speaker -> iasted#Delegate -> iasted#Person	conference#Co-chair, conference#Chair	iasted#Student_lecturer, iasted#Worker_lecturer	conference#was_a_member_of -> conference#Committee, conference#has_members -> conference#Committee	iasted#speak_in -> iasted#Session_room			0.993
ekaw#Review	sigkdd#Speaker				ekaw#Review -> ekaw#Document	sigkdd#Speaker -> sigkdd#Person	ekaw#Negative_Review, ekaw#Positive_Review, ekaw#Neutral_Review	sigkdd#Author, sigkdd#Invited_Speaker	ekaw#hasReview -> ekaw#Paper, ekaw#reviewOfPaper -> ekaw#Paper, ekaw#reviewWrittenBy -> ekaw#Possible_Reviewer	sigkdd#presentationed_by -> sigkdd#Document, sigkdd#presentation -> sigkdd#Document			0.992
confOf#Reception	ekaw#Conference_Banquet				confOf#Reception -> confOf#Social_event -> confOf#Event	ekaw#Conference_Banquet -> ekaw#Social_Event -> ekaw#Event							0.992
conference#Tutorial	ekaw#Tutorial_Abstract				conference#Tutorial -> conference#Conference_part	ekaw#Tutorial_Abstract -> ekaw#Abstract -> ekaw#Document							0.992
ekaw#Presenter	iasted#Reviewer				ekaw#Presenter -> ekaw#Conference_Participant -> ekaw#Person	iasted#Reviewer -> iasted#Speaker -> iasted#Delegate -> iasted#Person							0.992
confOf#University	iasted#Car				confOf#University -> confOf#Organization	iasted#Car -> iasted#Transport_vehicle -> iasted#Item			confOf#studyAt -> confOf#Scholar	iasted#is_connected_with -> iasted#Renting			0.992
conference#Reviewer	ekaw#Positive_Review				conference#Reviewer -> conference#Person	ekaw#Positive_Review -> ekaw#Review -> ekaw#Document			conference#belongs_to_reviewers -> conference#Review_preference, conference#has_a_review_reference_or_expertise -> conference#Review_preference, conference#belongs_to_reviewers -> conference#Review_expertise, conference#has_a_review_reference_or_expertise -> conference#Review_expertise	ekaw#hasReview -> ekaw#Accepted_Paper			0.992
confOf#University	iasted#Session_room				confOf#University -> confOf#Organization	iasted#Session_room -> iasted#Place			confOf#studyAt -> confOf#Scholar	iasted#speak_in -> iasted#Lecturer, iasted#is_held_in -> iasted#Session, iasted#is_situated_in -> iasted#Conference_building			0.991
ekaw#Web_Site	iasted#Submission				ekaw#Web_Site -> ekaw#Document	iasted#Submission -> iasted#Document -> iasted#Item			ekaw#publisherOf -> ekaw#Organisation, ekaw#listsEvent -> ekaw#Event, ekaw#eventOnList -> ekaw#Event	iasted#is_writen_by -> iasted#Speaker			0.991
conference#Conference_volume	sigkdd#Registration_fee				conference#Conference_volume -> conference#Conference	sigkdd#Registration_fee -> sigkdd#Fee			conference#has_tracks -> conference#Track, conference#has_a_commtitee -> conference#Committee, conference#was_a_committee_of -> conference#Committee	sigkdd#payed_by -> sigkdd#Person, sigkdd#pay -> sigkdd#Person	conference#has_a_location -> conference#string	sigkdd#Currency -> sigkdd#string, sigkdd#Price -> sigkdd#int	0.991
cmt#PaperFullVersion	ekaw#Poster_Paper				cmt#PaperFullVersion -> cmt#Paper -> cmt#Document	ekaw#Poster_Paper -> ekaw#Paper -> ekaw#Document							0.991
ekaw#Conference_Participant	iasted#Listener				ekaw#Conference_Participant -> ekaw#Person	iasted#Listener -> iasted#Delegate -> iasted#Person			ekaw#writtenBy -> ekaw#Camera_Ready_Paper	iasted#is_designed_for -> iasted#Audiovisual_equipment, iasted#sign -> iasted#Record_of_attendance, iasted#is_signed_by -> iasted#Record_of_attendance, iasted#is_designed_for -> iasted#Lecture			0.991
conference#Conference_volume	iasted#Plenary_lecture_speaker				conference#Conference_volume -> conference#Conference	iasted#Plenary_lecture_speaker -> iasted#Author -> iasted#Speaker -> iasted#Delegate -> iasted#Person			conference#has_parts -> conference#Conference_part, conference#is_part_of_conference_volumes -> conference#Conference_part, conference#is_submitted_at -> conference#Conference_contribution, conference#has_contributions -> conference#Conference_contribution, conference#has_a_commtitee -> conference#Committee, conference#was_a_committee_of -> conference#Committee	iasted#speak_in -> iasted#Conference_hall	conference#has_a_location -> conference#string		0.99
confOf#Short_paper	edas#ActivePaper				confOf#Short_paper -> confOf#Contribution	edas#ActivePaper -> edas#Paper -> edas#Document							0.99
edas#Presenter	iasted#Worker_lecturer				edas#Presenter -> edas#Author	iasted#Worker_lecturer -> iasted#Lecturer -> iasted#Author -> iasted#Speaker -> iasted#Delegate -> iasted#Person							0.99
cmt#Paper	edas#Sponsorship				cmt#Paper -> cmt#Document		cmt#PaperAbstract, cmt#PaperFullVersion	edas#TravelGrant	cmt#hasDecision -> cmt#Decision, cmt#markConflictOfInterest -> cmt#Chairman, cmt#submitPaper -> cmt#Author	edas#providedBy -> edas#Organization, edas#isProviderOf -> edas#Organization	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	edas#hasCostAmount -> edas#int, edas#hasCostCurrency -> edas#string	0.99
conference#Committee_member	edas#ConferenceChair				conference#Committee_member -> conference#Person	edas#ConferenceChair -> edas#Person			conference#was_a_member_of -> conference#Committee, conference#has_members -> conference#Committee	edas#initiates -> edas#Call, edas#isInitiatedBy -> edas#Call, edas#isReviewing -> edas#Paper, edas#isReviewedBy -> edas#Paper			0.99
conference#Track-workshop_chair	iasted#Plenary_lecture_speaker				conference#Track-workshop_chair -> conference#Person	iasted#Plenary_lecture_speaker -> iasted#Author -> iasted#Speaker -> iasted#Delegate -> iasted#Person			conference#was_a_track-workshop_chair_of -> conference#Conference_part, conference#has_a_track-workshop-tutorial_chair -> conference#Conference_part	iasted#speak_in -> iasted#Conference_hall			0.989
edas#Presenter	iasted#Reviewer				edas#Presenter -> edas#Author	iasted#Reviewer -> iasted#Speaker -> iasted#Delegate -> iasted#Person							0.989
confOf#Science_Worker	iasted#Worker_lecturer				confOf#Science_Worker -> confOf#Person	iasted#Worker_lecturer -> iasted#Lecturer -> iasted#Author -> iasted#Speaker -> iasted#Delegate -> iasted#Person							0.989
confOf#Assistant	iasted#Lecturer				confOf#Assistant -> confOf#Person	iasted#Lecturer -> iasted#Author -> iasted#Speaker -> iasted#Delegate -> iasted#Person							0.989
conference#Workshop	iasted#Conference_hotel				conference#Workshop -> conference#Conference_part	iasted#Conference_hotel -> iasted#Building -> iasted#Place			conference#has_workshops -> conference#Conference_volume	iasted#is_situated_in -> iasted#Conference_city, iasted#is_situated_in -> iasted#Conference_state, iasted#is_designed_for -> iasted#Hotel_presenter, iasted#is_situated_in -> iasted#Hotel_room			0.989
cmt#Meta-Reviewer	confOf#Scholar				cmt#Meta-Reviewer -> cmt#Reviewer -> cmt#ConferenceMember -> cmt#Person, cmt#Meta-Reviewer -> cmt#Reviewer -> cmt#User -> cmt#Person	confOf#Scholar -> confOf#Person			cmt#readByMeta-Reviewer -> cmt#Paper	confOf#studyAt -> confOf#University			0.989
edas#Person	sigkdd#Speaker					sigkdd#Speaker -> sigkdd#Person	edas#Attendee, edas#ConferenceChair, edas#SessionChair, edas#TPCMember	sigkdd#Invited_Speaker, sigkdd#Author	edas#relatesTo -> edas#Document, edas#hasRelatedDocument -> edas#Document, edas#isMemberOf -> edas#Conference	sigkdd#presentationed_by -> sigkdd#Document, sigkdd#presentation -> sigkdd#Document	edas#hasEmail -> edas#string, edas#hasLastName -> edas#string, edas#hasFirstName -> edas#string, edas#hasBiography -> edas#string		0.989
confOf#Country	iasted#State								confOf#hasCountry -> confOf#Person, confOf#hasCountry -> confOf#Organization	iasted#is_visited_by -> iasted#Person, iasted#occupy -> iasted#Person, iasted#is_occupied_by -> iasted#Person, iasted#is_situated_in -> iasted#City, iasted#is_situated_in -> iasted#Place			0.989
iasted#Student_registration_fee	sigkdd#Registration_Non-Member				iasted#Student_registration_fee -> iasted#Registration_fee -> iasted#Fee -> iasted#Money	sigkdd#Registration_Non-Member -> sigkdd#Registration_fee -> sigkdd#Fee							0.988
confOf#Submission_event	edas#BreakEvent				confOf#Submission_event -> confOf#Administrative_event -> confOf#Event	edas#BreakEvent -> edas#NonAcademicEvent -> edas#ConferenceEvent							0.988
cmt#PaperAbstract	edas#RatedPapers				cmt#PaperAbstract -> cmt#Paper -> cmt#Document	edas#RatedPapers -> edas#ActivePaper -> edas#Paper -> edas#Document							0.988
ekaw#Conference_Trip	iasted#Conference_hotel				ekaw#Conference_Trip -> ekaw#Social_Event -> ekaw#Event	iasted#Conference_hotel -> iasted#Building -> iasted#Place							0.988
edas#Reception	iasted#Coctail_reception				edas#Reception -> edas#SocialEvent -> edas#NonAcademicEvent -> edas#ConferenceEvent	iasted#Coctail_reception -> iasted#Conference_activity -> iasted#Activity							0.988
confOf#Short_paper	ekaw#Submitted_Paper				confOf#Short_paper -> confOf#Contribution	ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document							0.988
confOf#Company	edas#GovernmentOrganization				confOf#Company -> confOf#Organization	edas#GovernmentOrganization -> edas#Organization							0.988
cmt#Review	ekaw#Evaluated_Paper				cmt#Review -> cmt#Document	ekaw#Evaluated_Paper -> ekaw#Assigned_Paper -> ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	cmt#Meta-Review	ekaw#Accepted_Paper, ekaw#Rejected_Paper					0.988
cmt#ConferenceMember	iasted#Session				cmt#ConferenceMember -> cmt#Person	iasted#Session -> iasted#Lecture -> iasted#Conference_activity -> iasted#Activity	cmt#ConferenceChair, cmt#Reviewer, cmt#AssociatedChair, cmt#Author, cmt#ProgramCommitteeMember	iasted#Speaker_lecture	cmt#hasConferenceMember -> cmt#Conference, cmt#memberOfConference -> cmt#Conference	iasted#is_held_in -> iasted#Session_room			0.988
conference#Committee_member	ekaw#Conference_Participant				conference#Committee_member -> conference#Person	ekaw#Conference_Participant -> ekaw#Person	conference#Chair, conference#Co-chair	ekaw#Session_Chair, ekaw#Demo_Chair, ekaw#Workshop_Chair, ekaw#Tutorial_Chair	conference#was_a_member_of -> conference#Committee, conference#has_members -> conference#Committee	ekaw#writtenBy -> ekaw#Camera_Ready_Paper			0.987
conference#Co-chair	confOf#Scholar				conference#Co-chair -> conference#Committee_member -> conference#Person	confOf#Scholar -> confOf#Person			conference#was_a_committe_co-chair_of -> conference#Committee, conference#has_a_committee_co-chair -> conference#Committee	confOf#studyAt -> confOf#University			0.987
confOf#Social_event	edas#NonAcademicEvent				confOf#Social_event -> confOf#Event	edas#NonAcademicEvent -> edas#ConferenceEvent	confOf#Banquet, confOf#Reception, confOf#Trip	edas#MealEvent, edas#SocialEvent, edas#BreakEvent			confOf#maxChoice -> confOf#positiveInteger, confOf#minChoice -> confOf#positiveInteger, confOf#has_short_title -> confOf#string, confOf#has_title -> confOf#string, confOf#hasVAT -> confOf#string, confOf#defaultChoice -> confOf#positiveInteger, confOf#location -> confOf#string		0.987
edas#AccommodationPlace	iasted#Building				edas#AccommodationPlace -> edas#Place	iasted#Building -> iasted#Place							0.987
edas#Attendee	ekaw#Student				edas#Attendee -> edas#Person	ekaw#Student -> ekaw#Person							0.987
edas#SessionChair	iasted#Plenary_lecture_speaker				edas#SessionChair -> edas#Person	iasted#Plenary_lecture_speaker -> iasted#Author -> iasted#Speaker -> iasted#Delegate -> iasted#Person			edas#isInitiatedBy -> edas#Call, edas#initiates -> edas#Call, edas#isReviewedBy -> edas#Paper, edas#isReviewing -> edas#Paper	iasted#speak_in -> iasted#Conference_hall			0.987
conference#Paper	ekaw#Industrial_Paper				conference#Paper -> conference#Regular_contribution -> conference#Written_contribution -> conference#Conference_contribution -> conference#Conference_document	ekaw#Industrial_Paper -> ekaw#Paper -> ekaw#Document							0.987
ekaw#Submitted_Paper	sigkdd#Deadline_Paper_Submission				ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	sigkdd#Deadline_Paper_Submission -> sigkdd#Deadline							0.987
confOf#Short_paper	ekaw#Poster_Paper				confOf#Short_paper -> confOf#Contribution	ekaw#Poster_Paper -> ekaw#Paper -> ekaw#Document							0.987
confOf#Scholar	edas#ConferenceChair				confOf#Scholar -> confOf#Person	edas#ConferenceChair -> edas#Person			confOf#studyAt -> confOf#University	edas#isReviewing -> edas#Paper, edas#isReviewedBy -> edas#Paper, edas#initiates -> edas#Call, edas#isInitiatedBy -> edas#Call			0.987
conference#Workshop	iasted#Session				conference#Workshop -> conference#Conference_part	iasted#Session -> iasted#Lecture -> iasted#Conference_activity -> iasted#Activity			conference#has_workshops -> conference#Conference_volume	iasted#is_held_in -> iasted#Session_room			0.986
cmt#Review	conference#Submitted_contribution				cmt#Review -> cmt#Document	conference#Submitted_contribution -> conference#Written_contribution -> conference#Conference_contribution -> conference#Conference_document	cmt#Meta-Review	conference#Reviewed_contribution	cmt#writtenBy -> cmt#Reviewer, cmt#writeReview -> cmt#Reviewer	conference#has_a_review_expertise -> conference#Review_expertise, conference#has_a_submitted_contribution -> conference#Review_expertise			0.986
edas#Attendee	iasted#Speaker				edas#Attendee -> edas#Person	iasted#Speaker -> iasted#Delegate -> iasted#Person							0.986
ekaw#Presenter	iasted#Listener				ekaw#Presenter -> ekaw#Conference_Participant -> ekaw#Person	iasted#Listener -> iasted#Delegate -> iasted#Person							0.986
conference#Workshop	iasted#Conference_restaurant				conference#Workshop -> conference#Conference_part	iasted#Conference_restaurant -> iasted#Building -> iasted#Place			conference#has_workshops -> conference#Conference_volume	iasted#is_situated_in -> iasted#Conference_city, iasted#is_situated_in -> iasted#Conference_state, iasted#is_occupied_by -> iasted#Delegate, iasted#is_paid_in -> iasted#Tip			0.986
cmt#Paper	iasted#Lecture				cmt#Paper -> cmt#Document	iasted#Lecture -> iasted#Conference_activity -> iasted#Activity	cmt#PaperAbstract, cmt#PaperFullVersion	iasted#Plenary_lecture, iasted#Tutorial, iasted#Session	cmt#markConflictOfInterest -> cmt#Chairman, cmt#acceptedBy -> cmt#Administrator, cmt#rejectPaper -> cmt#Administrator, cmt#rejectedBy -> cmt#Administrator, cmt#acceptPaper -> cmt#Administrator, cmt#readByReviewer -> cmt#Reviewer	iasted#give -> iasted#Speaker	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string		0.986
iasted#Nonauthor_registration_fee	sigkdd#Registration_Student				iasted#Nonauthor_registration_fee -> iasted#Registration_fee -> iasted#Fee -> iasted#Money	sigkdd#Registration_Student -> sigkdd#Registration_fee -> sigkdd#Fee							0.986
cmt#AuthorNotReviewer	sigkdd#Author_of_paper_student				cmt#AuthorNotReviewer -> cmt#Author -> cmt#ConferenceMember -> cmt#Person, cmt#AuthorNotReviewer -> cmt#Author -> cmt#User -> cmt#Person	sigkdd#Author_of_paper_student -> sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person							0.986
conference#Active_conference_participant	confOf#Participant				conference#Active_conference_participant -> conference#Conference_contributor -> conference#Person, conference#Active_conference_participant -> conference#Conference_participant -> conference#Person	confOf#Participant -> confOf#Person						confOf#earlyRegistration -> confOf#boolean	0.985
cmt#Paper	iasted#Money				cmt#Paper -> cmt#Document		cmt#PaperAbstract, cmt#PaperFullVersion	iasted#Fee, iasted#Tax, iasted#Tip, iasted#Sponzorship	cmt#hasSubjectArea -> cmt#SubjectArea, cmt#markConflictOfInterest -> cmt#Chairman	iasted#is_paid_with -> iasted#Item, iasted#is_used_for -> iasted#Item, iasted#is_paid_for -> iasted#Item, iasted#pay -> iasted#Person, iasted#is_designed_for -> iasted#Person, iasted#is_paid_by -> iasted#Person	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	iasted#has_amount_of -> iasted#int	0.985
conference#Presentation	edas#AcademicEvent				conference#Presentation -> conference#Conference_contribution -> conference#Conference_document	edas#AcademicEvent -> edas#ConferenceEvent	conference#Invited_talk	edas#TalkEvent, edas#PaperPresentation, edas#Workshop, edas#OrganizationalMeeting	conference#is_the_1th_part_of -> conference#Abstract, conference#has_an_abstract -> conference#Abstract	edas#relatesTo -> edas#Document, edas#hasRelatedDocument -> edas#Document, edas#hasCall -> edas#Call, edas#forEvent -> edas#Call			0.985
cmt#SubjectArea	ekaw#Research_Topic								cmt#hasSubjectArea -> cmt#Paper	ekaw#coversTopic -> ekaw#Paper, ekaw#topicCoveredBy -> ekaw#Paper, ekaw#topicCoveredBy -> ekaw#Event, ekaw#coversTopic -> ekaw#Event			0.985
conference#Conference_volume	iasted#Activity_before_conference				conference#Conference_volume -> conference#Conference	iasted#Activity_before_conference -> iasted#Activity			conference#has_parts -> conference#Conference_part, conference#is_part_of_conference_volumes -> conference#Conference_part, conference#is_submitted_at -> conference#Conference_contribution, conference#has_contributions -> conference#Conference_contribution, conference#has_a_commtitee -> conference#Committee, conference#was_a_committee_of -> conference#Committee	iasted#is_held_before -> iasted#Conference_days	conference#has_a_location -> conference#string		0.985
iasted#Renting	sigkdd#Hotel				iasted#Renting -> iasted#Activity_before_conference -> iasted#Activity	sigkdd#Hotel -> sigkdd#Place			iasted#is_connected_with -> iasted#Car	sigkdd#can_stay_in -> sigkdd#Person			0.984
